id	hero	house	levelup	wifenum	idiom	word	posx	posy	answer	
1	1	1	1	0	一心一意,走为上策,一言为定	一,心,走,一,言,为,定,意,上,策	2,2,4,2,3,4,5,2,4,4	6,5,5,4,4,4,4,3,3,2	3,5,9	
2	2	1	2	0	山清水秀,点石成金,水滴石穿,风土人情,挥金如土	山,清,点,水,滴,石,穿,秀,成,风,挥,金,如,土,人,情	2,2,4,2,3,4,5,2,4,6,3,4,5,6,6,6	7,6,6,5,5,5,5,4,4,4,3,3,3,3,2,1	3,5,8,12,13,14	
3	2	1	2	0	助人为乐,一穷二白,正大光明,其乐无穷,大显身手,身败名裂,黑白分明	助,人,为,一,正,其,乐,无,穷,大,显,身,手,二,光,败,黑,白,分,明,名,裂	1,1,1,3,5,0,1,2,3,5,6,7,8,3,5,7,2,3,4,5,7,7	8,7,6,6,6,5,5,5,5,5,5,5,5,4,4,4,3,3,3,3,3,2	1,6,8,9,11,16,17,20	
4	2	1	2	0	心惊胆寒,大惊小怪,古往今来,寒来暑往,寿比南山,今非昔比,手下留情,手到擒来	心,大,惊,小,怪,胆,古,寒,来,暑,往,寿,今,非,昔,比,手,到,擒,来,南,下,山,留,情	1,0,1,2,3,1,4,1,2,3,4,7,4,5,6,7,1,2,3,4,7,1,7,1,1	8,7,7,7,7,6,6,5,5,5,5,5,4,4,4,4,3,3,3,3,3,2,2,1,0	2,3,7,9,10,14,15,16,19,21,22	
5	2	1	2	0	不相上下,相敬如宾,如影随形,借刀杀人,拔刀相助,形势逼人,势不可挡,无家可归	不,相,敬,如,宾,借,上,影,拔,刀,相,助,下,随,杀,形,势,逼,人,不,无,家,可,归,挡	1,1,2,3,4,6,1,3,5,6,7,8,1,3,6,3,4,5,6,4,2,3,4,5,4	8,7,7,7,7,7,6,6,6,6,6,6,5,5,5,4,4,4,4,3,2,2,2,2,1	1,3,7,8,9,10,12,14,16,18,22,23,24	
6	2	1	2	0	一目了然,了如指掌,鬼迷心窍,易如反掌,如释重负,得意忘形,三心二意,忘恩负义	一,目,了,然,如,指,鬼,易,如,反,掌,迷,得,释,三,心,二,意,重,窍,忘,恩,负,义,形	5,6,7,8,7,7,1,4,5,6,7,1,3,5,0,1,2,3,5,1,3,4,5,6,3	8,8,8,8,7,6,5,5,5,5,5,4,4,4,3,3,3,3,3,2,2,2,2,2,1	0,2,3,8,9,10,11,13,15,17,19,20,21,23	
7	2	2	3	0	三从四德,德高望重,一帆风顺,不约而同,不负众望,风姿绰约,见异思迁,大同小异	三,从,四,德,一,高,帆,不,负,众,望,风,姿,绰,约,重,顺,而,见,大,同,小,异,思,迁	4,5,6,7,1,7,1,4,5,6,7,1,2,3,4,7,1,4,6,3,4,5,6,6,6	7,7,7,7,6,6,5,5,5,5,5,4,4,4,4,4,3,3,3,2,2,2,2,1,0	1,3,5,6,8,10,11,14,17,20,22,24	
8	2	2	3	0	手下留情,寄人篱下,人之常情,繁荣昌盛,繁花似锦,似水流年,流水无情,无所不为,人满为患	手,寄,人,篱,下,繁,花,似,锦,之,留,荣,水,常,情,昌,流,水,无,情,盛,年,所,不,人,满,为,患	8,5,6,7,8,1,2,3,4,6,8,1,3,6,8,1,3,4,5,6,1,3,5,5,3,4,5,6	8,7,7,7,7,6,6,6,6,6,6,5,5,5,5,4,4,4,4,4,3,3,3,2,1,1,1,1	3,4,5,7,10,11,13,16,18,19,26	
9	2	2	3	0	虚与委蛇,爱不释手,砸锅卖铁,与众不同,手无寸铁,寸步难行,皮开肉绽,多灾多难,行尸走肉	虚,爱,砸,与,众,不,同,锅,委,释,卖,蛇,手,无,寸,铁,步,皮,多,灾,多,难,开,行,尸,走,肉,绽	1,3,6,1,2,3,4,6,1,3,6,1,3,4,5,6,5,8,2,3,4,5,8,5,6,7,8,8	7,7,7,6,6,6,6,6,5,5,5,4,4,4,4,4,3,3,2,2,2,2,2,1,1,1,1,0	2,3,5,10,11,12,13,16,19,21,22,23,26	
10	2	2	3	0	得不偿失,不胜枚举,退避三舍,绰绰有余,应有尽有,举一反三,一呼百应,有始有终,有求必应	得,不,偿,失,胜,退,绰,枚,避,绰,应,举,一,反,三,有,始,有,终,呼,舍,余,尽,百,有,求,必,应	4,5,6,7,5,8,1,5,8,1,3,5,6,7,8,1,2,3,4,6,8,1,3,6,3,4,5,6	7,7,7,7,6,6,5,5,5,4,4,4,4,4,4,3,3,3,3,3,3,2,2,2,1,1,1,1	1,2,4,5,6,7,12,14,15,17,19,20,21,22,25,27	
